Sample,hsa-mir-15a,hsa-mir-26a-1,hsa-mir-107,hsa-mir-221,Betaine Aldehyde_pos,3-Nitrotyrosine_neg,5-Methylthioadenosine_pos,Acetylcholine_pos,Acetylglycine/Glycocyamine_pos,Acetylneuraminate_neg,Acetylornithine_neg,Adenine_pos,Adenosine_pos,Adipate_neg,Alanine_pos,Aminoadipate_neg,Aminobenzoates/Trigonelline_pos,Aminobenzoic Acid_pos,Aminosugar Phosphates_pos,Aminovaleric Acid_pos,Argininosuccinic Acid_neg,Asparagine_pos,Aspartate_pos,Butylcarnitine_pos,Cadaverine_pos,Caffeine_pos,cAMP_pos,Carnitine_pos,cGMP_pos,Choline_pos,Cis-4-Hydroxy-D-Proline_pos,Citraconic Acid_pos,Citrulline_pos,CMP_pos,Cortisone_pos,Cotinine_pos,Creatine_pos,Creatinine_pos,Cyanocobalamin_pos,Cystine_pos,Cytidine_pos,D-Erythrose 4-Phosphate_neg,Deoxyadenosine_pos,Dihydroxyacetone Phosphate_pos,Dimethylarginine_pos,Dimethylglycine_pos,Dimethylguanosine_pos,Dimethylxanthine_pos,dTMP_pos,dUMP_pos,Epinephrine-H2O_pos,Erythronate_neg,Erythrose-4-Phosphate_neg,Ethylmalonate_neg,FAD_pos,Folate_pos,Gluconate_neg,Glucose-1-Phosphate_neg,Glutamate_pos,Glutamine_pos,Glutarate_neg,Glycerate_neg,Glycerol-3-Phosphate_neg,Glycerophosphocholine_pos,Glycine_neg,Glycolate_neg,Glycolic Acid_neg,Glycyl-Proline_pos,Guanine_pos,Guanosine_pos,Hexanoylcarnitine_pos,Hexose 6-Phosphate_neg,Histidine_pos,Histidinol_pos,Homoarginine_pos,Homocitrulline_pos,Homocysteic Acid_pos,Homocysteine_pos,Homoserine_pos,Hydroxy-Methylbutyrate_neg,Hydroxyanthranilate_pos,Hydroxycinnaminic acid_neg,Hydroxyglutarate_neg,Hydroxyindoleacetate_pos,Hydroxykynurenine_pos,Hydroxytryptophan_pos,Imidazoleacetate_pos,Imidazoleacetic Acid_pos,Indole_pos,Indole-2-Carboxylic Acid_neg,Indoleacrylate_pos,Isopropylmalic Acid_neg,Itaconate_neg,Ketohexanoic Acid_neg,Ketoisovalerate_neg,Ketoisovaleric Acid_pos,Ketoleucine_neg,Kynurenate_pos,Lipoamide_pos,Lipoic Acid_pos,Lysine_pos,Malate_neg,Margaric Acid_neg,Melatonin_pos,Metanephrine_pos,Methionine Sulfoxide_pos,Methionine_pos,Methoxytyramine_pos,Methyl Phenylacetate_neg,Methyl-Oxovalerate_neg,Methylamino-Alanine_pos,Methylene-THF_pos,Methylglutarate_neg,Methylhistamine_pos,Methylsuccinate_neg,Methyltetrahydrofolate_pos,Methylthioadenosine_pos,Mevalonolactone_pos,Myoinositol_neg,n-Glycylproline_pos,NADH_1_pos,NADH_2_pos,NADH_3_pos,Nicotinamide Riboside_pos,Norvaline_pos,Ornithine_pos,Oxoguanine/3-Methoxytyramine_pos,Phosphocholine_pos,phosphoenolpyruvate_1_neg,Phosphoenolpyruvate_neg,Phosphoglycerate_pos,Phosphoglycerates_neg,Phosphoserine_pos,Pipecolate_pos,Proline_pos,Propylene Glycol_pos,Riboflavin_pos,S-Ribosyl-L-Homocysteine_pos,Sarcosine_pos,Serine_pos,Serotonin_pos,Spermidine_pos,Succinylcarnitine/3-Hydroxyisovalerylcarnitine_pos,Symmetric Dimethylarginine_pos,Taurine_neg,Theobromine_pos,Thiamine_pos,Threonine_pos,Thymidylic Acid_pos,Trans-Aconitate_neg,Trimethylamine Oxide_pos,Trimethylamine_pos,Tryptophan_pos,UDP_pos,Urea_pos,Ureidopropionate_pos,Uric Acid_pos,Valerylcarnitine_pos,Valine_pos,Xanthurenic Acid_neg,Xylonate_neg
UO1_Set1_ALL_016_Pooled QC,9.998707977,3.019915241,11.95837041,343.5598391,2.683706587,0.003629344,7.23002513,4.800155993,0.415420189,0.009581699,0.09179612,2.562275573,0.201146577,0.007938456,1.201314486,0.040730736,0.336392448,2.605723433,0.109032393,19.88549853,0.005952458,1.492992133,2.047747043,7.873900598,0.295172738,1.375386339,0.686957455,133.0415061,0.20866021,14.35759638,5.955071221,0.60959639,14.10906001,23.98941567,10.24265385,0.657959872,73.06090087,10.21138789,3.091092632,0.817236958,21.04486235,0.033822793,0.585719543,2.520535326,4.439911633,217.7759167,6.314329561,0.549187684,0.135889728,0.206063613,4.593903463,0.105288747,0.044421172,0.011912106,0.91649783,12.99011514,0.009220069,0.096160789,135.4648886,46.62074217,0.012691157,0.024109662,0.065070998,52.30153467,0.038297932,0.001275798,0.003869153,20.00956599,5.553896825,1.101033723,0.072395554,0.104792774,42.69078159,0.550248255,1.715445478,3.169118417,1.000309446,5.203046583,39.31818298,5.296810007,0.647746902,0.026988139,0.049087934,64.29694316,10.73477415,0.479716857,16.19508175,4.373151784,11.74778018,0.023698149,38.40156918,0.003244129,0.019527214,0.283843493,0.053994456,0.796920287,0.007461435,4.734426196,97.8870314,1.103272775,110.69848,0.055842836,0.006348914,7.508217656,19.0836381,1.729930288,118.6951591,0.717466876,0.00780319,0.006728419,2.868258973,0.079613597,0.202825015,1.147683177,0.007408775,0.152240567,84.57433507,5.488064467,0.001567897,20.53286177,0.24548281,0.150231404,0.112211554,17.45981166,394.4085771,30.26578682,1.769759502,169.2362638,0.058147691,0.024733023,10.16074465,0.012629911,1.468920493,1.244756227,516.5986938,0.264447816,0.632875957,0.290579343,2.449660988,98.53353306,58.1338352,84.85236047,13.74989932,11.97260968,0.009382899,1.163801962,44.47438477,23.78096882,0.11144866,0.0018483,0.235881899,4.374969061,300.7969411,0.767259707,4.891328265,1.728418974,2.779433688,8.294943028,400.9078667,0.006108536,0.063698121
UO1_Set1_ALL_019_sample 001,9.185571393,5.079370349,14.68227415,338.458512,2.377636844,0.003826168,9.743249831,5.660331198,0.487120909,0.006588634,0.134278519,2.666615842,0.247455806,0.006000709,0.7813497,0.057224517,0.326330059,2.738377536,0.107310195,20.5737013,0.010271196,1.14425262,1.612440069,16.36748277,0.317041576,1.315447722,0.410042752,159.5170295,0.089753283,18.65105429,5.976816371,0.585817521,12.09970653,13.60301408,9.693062251,0.712039258,97.61615279,1.520210876,4.902525626,0.579866765,33.76277029,0.025249495,0.548284068,2.31948203,3.177281843,251.5305237,5.352934046,0.553486661,0.208275194,0.213895019,5.371396716,0.079159557,0.026016559,0.012471671,1.675132816,22.34632811,0.009677596,0.134709176,107.7958435,48.00126924,0.011913115,0.020441621,0.064416902,42.0548741,0.034373454,0.000253,0.00243177,45.46878003,1.334475074,1.639558204,0.109458741,0.147593624,45.07353261,0.469736497,1.314080019,2.444911649,0.930923084,5.42285115,35.30512975,4.366409807,0.643410102,0.019659086,0.058790542,91.37645402,10.66545481,0.544009437,14.88521901,4.037660216,14.92187891,0.032632284,43.53322231,0.002602569,0.013740738,0.337754655,0.042755432,0.818414159,0.006811069,5.018863937,118.1339406,0.960862063,116.4829622,0.045817334,0.004889021,8.155912502,18.50197394,2.299596924,162.5301958,0.63878623,0.007444673,0.005785045,3.597210639,0.088631748,0.214914587,1.116355641,0.006175,0.130338255,107.2449887,7.610151283,0.001221008,48.89776314,0.456304702,0.258642905,0.153500598,16.51937088,410.6333506,26.80231092,1.522490321,226.9616986,0.029466742,0.01166513,7.824640531,0.00904536,0.881012895,1.426679617,534.6395177,1.185453702,1.158193277,0.256216529,1.619329392,73.53603673,64.76006976,52.08650845,34.97559117,8.475103589,0.003222078,1.129113127,46.86123595,21.92743643,0.270164322,0.001472008,0.213314449,5.934512061,303.2633404,3.903025646,3.222854985,2.118378771,2.080247341,19.21015621,423.4954675,0.006404683,0.026708859
UO1_Set1_ALL_020_sample 002,7.965983904,3.962509212,13.26849737,270.6167742,2.32422808,0.002906757,5.877353902,4.676224445,0.328728697,0.006412468,0.090247576,2.278655701,0.288801513,0.005020923,1.015236703,0.041945393,0.251132211,2.590306189,0.086620993,20.09564245,0.00616547,1.060035974,2.001473016,6.424700351,0.296764204,1.159088576,0.523711324,135.3464718,0.102163171,16.73854175,5.553238288,0.382180822,10.11135205,10.18714406,9.638877442,0.62434732,94.32630333,7.650895852,5.884475089,0.440971329,33.63482315,0.026767631,0.560238393,1.868523337,4.738634505,229.6873653,7.328773426,0.479172852,0.216808735,0.162527186,5.233496067,0.116265723,0.034958348,0.009697244,0.960520796,21.54520105,0.007498442,0.065493843,127.5935533,37.82498227,0.009568233,0.023606631,0.02887307,77.28072264,0.028901477,0.000815,0.002688284,13.758914,1.334475074,1.586086622,0.073147157,0.072767447,33.58929523,0.433324089,1.696742639,2.145487118,0.783845446,4.337601756,31.68729484,4.046620378,0.581531052,0.017085611,0.054551965,83.53874456,9.509382996,0.470051195,11.67536599,3.245813653,16.02337728,0.026368783,46.03407061,0.002547376,0.011290776,0.349657024,0.040304341,0.679884777,0.006472991,4.836585394,119.0691922,0.810161705,89.72938168,0.079134762,0.005042082,5.761036647,15.20109525,2.244100921,158.443372,0.546451545,0.006326809,0.005588454,2.779586693,0.085216755,0.17821277,1.105867053,0.006448922,0.110136237,67.6843323,5.251297963,0.001100622,13.86248212,0.201028185,0.120496748,0.136443924,21.61184419,371.6727101,37.08878431,1.314888423,206.5804736,0.073698307,0.032684334,10.65010052,0.016837102,1.211015871,1.067439082,462.6546636,0.8359712,1.007807364,0.167079657,1.947438766,59.6401196,60.31895136,49.28794524,17.30777911,12.12571779,0.016049073,0.95928954,50.8228619,18.49755832,0.356608433,0.000447,0.212444502,5.09177013,286.6377214,0.867380347,4.587227534,2.139063905,3.183495666,9.097600683,382.1187743,0.006730511,0.062863077
UO1_Set1_ALL_021_sample 003,5.277410907,2.661577318,6.144404613,101.6127921,1.259216268,0.001507127,6.361318561,2.757717807,0.222415108,0.005437237,0.014347313,1.432411597,0.057807764,0.004135185,0.70301052,0.020042773,0.182982332,0.279534227,0.068119575,10.61744536,0.002505998,1.106393769,1.855585032,11.80782584,0.16673938,0.901653881,1.033646287,80.97633473,0.346117511,8.055486503,3.174188358,0.659340164,12.19775579,63.02172673,8.340375153,0.475084541,36.18978742,1.520210876,1.365947634,1.597048643,0.98360347,0.025084802,0.40309187,1.740860921,6.761986207,116.3963776,5.406590447,0.485821353,0.045980488,0.036870452,3.093884252,0.045282979,0.04207314,0.004298374,1.334204345,5.834003098,0.00511773,0.031977866,72.83388371,25.3505302,0.003941254,0.012688919,0.033339452,68.03668398,0.022456434,0.000614,0.001688092,22.95242296,4.108790653,0.387158627,0.035573187,0.030114382,22.41256337,0.294960499,1.216960895,1.742553492,0.50358137,3.005667364,25.11652167,2.782601063,0.354923796,0.007137469,0.030560234,36.69334193,7.545736258,0.323288106,7.737986738,2.018800209,8.767410916,0.011730947,26.21521702,0.001624923,0.012070093,0.109095739,0.025970598,0.402791319,0.003554921,2.677587935,63.155638,0.530520153,64.82817632,0.071696169,0.001735218,4.815102251,8.101792166,1.198888332,84.16401489,0.36387242,0.002777842,0.003141824,1.27946169,0.037613263,0.121510055,0.705506728,0.006829115,0.088219162,69.77199213,2.116018964,0.000732,22.75570134,0.175917588,0.111298036,0.074378841,11.94814929,219.9713423,45.78535879,0.756209875,134.3951851,0.077363275,0.031746511,9.045142353,0.014065243,1.720140287,0.693532172,301.0340329,0.630636687,0.436138879,0.090880451,1.498229989,53.7421302,52.02317252,32.79494316,13.73441137,18.84730141,0.002241903,0.732874238,19.10757074,15.58626339,0.048869167,0.000894,0.123812254,2.448738482,170.8845975,0.171111681,5.082206501,0.853942173,1.076833213,14.74007319,224.1105187,0.004366489,0.023805678
UO1_Set1_ALL_022_sample 004,7.785192803,3.948529113,12.03119061,289.7079782,2.530879751,0.002423016,6.184333242,4.71330303,0.398512622,0.00743244,0.114171336,2.257910713,0.190351453,0.005670368,0.999630056,0.038963055,0.240199272,2.824399073,0.069029852,19.73991068,0.006685055,1.07041332,1.909911097,7.168357204,0.302585013,1.147821071,0.968880243,136.9896844,0.198152928,15.88603049,5.430626215,0.402955542,9.982147269,15.41774621,9.255436994,0.637967182,62.08500416,7.260280657,5.287274263,0.638735037,6.738132781,0.026023735,0.54527527,1.677308574,4.636167415,219.2280225,7.431998685,0.521380062,0.166042926,0.177308746,5.021517787,0.126947746,0.034328673,0.009435507,0.992159626,19.09306099,0.008902117,0.047696346,134.831889,36.50604915,0.009159247,0.022580926,0.010266825,59.08584016,0.031236231,0.000953,0.002452048,16.05122063,4.615241566,1.093766717,0.070249551,0.047643619,33.59015669,0.403560591,1.493333256,2.115458868,0.778377361,3.835374358,31.5933566,1.391300532,0.559420553,0.017141748,0.051469221,94.46979918,9.550068535,0.460171524,11.37015526,3.036694983,13.56541385,0.021009629,41.05194524,0.002252268,0.012538791,0.313782612,0.040926435,0.792658471,0.006272501,4.564864447,106.4016648,0.82462751,86.7634849,0.091624122,0.001735218,5.684654962,17.74534785,1.542984438,150.9170046,0.539299641,0.005704769,0.005470438,2.241421728,0.083491191,0.160555117,1.048341505,0.006123826,0.103128749,69.50449871,5.209567917,0.001175713,15.23431585,0.200090261,0.1124253,0.117789942,8.372428941,358.6737306,32.05067011,1.193289646,181.243638,0.068118031,0.029771885,10.69455565,0.014612148,1.415452875,1.094523214,451.5435682,0.923949399,1.011887875,0.158401514,2.08500038,61.20607605,60.09153804,68.94832126,16.77367849,13.64158895,0.00885976,0.973801586,44.66015806,18.71596446,0.213435883,0.001345146,0.180616468,4.530575866,273.070096,0.196686931,3.951392156,1.438575193,2.846458461,4.783887027,373.2442414,0.005787709,0.057408028
UO1_Set1_ALL_023_sample 005,8.289574663,3.898709492,12.96634714,288.2379921,2.255182178,0.00338461,5.39882457,4.826106592,0.376591397,0.00723624,0.097160154,2.35556918,0.234815552,0.005088279,1.161361641,0.040167034,0.276271704,2.69653813,0.101039106,20.22607274,0.00695779,1.043822773,1.740729518,6.411150542,0.325952791,1.383257693,0.571396122,135.179459,0.1446569,16.48269944,5.06890384,0.385354423,9.742109542,11.31692048,8.997149552,0.67068512,73.53369358,7.779848263,5.827037372,0.387975046,37.70098713,0.025457646,0.57713704,1.662615715,4.765073016,227.1670261,8.019321379,1.285752127,0.145388078,0.1775556,5.097240853,0.118819512,0.030901683,0.009376731,0.790008763,19.3459151,0.006904965,0.04726227,111.3671297,43.24791515,0.008741966,0.021962048,0.023525065,64.73875729,0.029335418,0.000701,0.002356129,18.90935971,4.330881852,1.432065768,0.070646611,0.0484511,35.79350642,0.147271261,1.629264764,2.093865999,0.802633697,4.091832009,33.57896186,1.391300532,0.619525286,0.016488761,0.048248034,92.48899252,10.19999297,0.48668396,11.98243454,3.136134869,16.2425342,0.022502304,45.77811002,0.002414338,0.011032676,0.417365458,0.039426993,0.740506912,0.006793016,4.967623038,112.6211273,0.801033301,103.4774882,0.058581596,0.004570759,5.534755372,15.63886539,1.706077216,165.7992505,0.566182069,0.005403005,0.005923355,2.42074548,0.087471996,0.193050072,1.132988868,0.005620688,0.118389086,63.14920267,5.293323525,0.001115809,19.34396289,0.214784956,0.135105229,0.122547729,16.94811525,382.3592552,39.86617007,1.284348032,216.2367753,0.05065276,0.022415236,8.951574004,0.010812414,1.170226289,1.15330874,484.3612282,0.969037266,1.21830029,0.193742943,2.425176938,63.58724263,60.94843346,51.8302257,0.343729685,13.78426326,0.012307617,1.102016035,50.03559353,18.35051154,0.148280389,0.001306302,0.203609664,4.900594285,290.7230221,0.376313983,4.900162738,1.731292377,3.539994599,4.46978659,405.5632226,0.005603964,0.060612397
UO1_Set1_ALL_024_sample 006,8.945243405,4.932557415,11.60646813,310.1323267,2.495549796,0.003005146,5.987069832,5.443899796,0.419786323,0.006764675,0.106628701,2.408000513,0.185845532,0.006379929,0.72701746,0.048407529,0.29277732,2.402743422,0.064548234,20.23754849,0.006194434,1.227770926,1.74310843,9.79478727,0.36051017,1.188434259,0.66786407,120.9154709,0.12891968,15.39650543,5.755693612,0.681217499,12.59140951,10.97393169,10.48597032,0.671969077,54.00992989,8.217603532,4.083912507,0.901640053,9.651217702,0.027550046,0.512028912,2.068818544,4.321128078,210.0456255,7.405593683,0.501674515,0.186936905,0.172807868,5.056686861,0.069381327,0.032058704,0.011898984,0.96270622,19.55773739,0.007491166,0.058804678,115.5321943,38.08081426,0.011846205,0.020283396,0.011041851,36.6985913,0.030854673,0.000886,0.00264689,55.21924118,4.605426373,1.172826721,0.07675862,0.057495878,38.26938026,0.490580447,1.755290006,2.364078829,0.853991419,3.929204366,33.50560717,4.60981506,0.576606887,0.019408918,0.054404154,97.45619369,10.45009994,0.530214391,12.14991028,3.250092121,13.74847161,0.028740713,40.72274589,0.002459315,0.012303033,0.236405593,0.041172752,0.75501351,0.006027123,4.89275672,109.6210831,0.90515056,97.12107906,0.050977438,0.004870669,6.859132158,17.20589722,1.919249241,158.0474746,0.621948537,0.006528288,0.005232359,2.395586035,0.062639944,0.179321753,1.094934849,0.006674399,0.111988629,67.55666888,6.03351423,0.001108122,53.65649416,0.194036607,0.116291867,0.109870024,13.98914655,393.5968804,30.71498685,2.973133355,181.2825338,0.02889078,0.012134556,6.409309477,0.006388318,0.769859715,1.312514667,510.3415311,1.137816247,0.958537163,0.192526132,1.756484259,70.12042514,62.35747585,56.94708232,21.46299974,12.64996701,0.001452244,1.071823209,48.05392924,20.57324326,0.272270691,0.000447,0.200635678,4.35394997,293.8354172,0.165655374,3.910924474,1.21144762,4.528841779,9.126172216,408.4691712,0.006535316,0.023554244
UO1_Set1_ALL_025_sample 007,6.786983552,2.561354203,8.550609323,17.22142205,1.610896498,0.00237875,10.710676,1.272131355,0.215379933,0.007479467,0.002150989,1.899629382,0.106784816,0.005407475,0.942926608,0.024165987,0.24198678,0.279534227,0.061821221,13.74082484,0.003054811,1.166159476,3.299001376,13.03978214,0.182762711,1.162061078,0.845206448,97.86755075,0.309337691,10.53563568,3.591964958,1.131419739,17.20485211,34.74663543,12.16369395,0.555585442,37.57149124,6.033793724,2.468349102,1.510891312,3.07397912,0.040451205,0.442718531,1.2804562,4.868995783,146.5948718,9.020421827,0.601423371,0.081040759,0.036870452,4.002624277,0.056478249,0.084892333,0.005014156,1.351266351,2.500005536,0.007029217,0.011444624,84.91722518,32.09865137,0.004953974,0.015183037,0.028541469,81.05723197,0.028742166,0.000685,0.002348965,3.415763583,4.458974228,0.058610088,0.048147932,0.008808385,22.47848281,0.147271261,1.618028175,2.328277627,0.655484302,5.002136109,33.53641121,3.209897703,0.470519585,0.016806932,0.041678891,32.87840223,8.485371483,0.390297773,9.361789532,2.575571938,12.72843257,0.014345836,36.53664419,0.001814967,0.015938573,0.158485066,0.032038018,0.443001729,0.004571882,2.959447559,90.70533322,0.614310363,77.44890064,0.060774245,0.001735218,6.17098813,8.35876784,1.389121649,85.418127,0.45721238,0.00397302,0.003895628,1.568112717,0.024601702,0.140113638,0.954892563,0.00628259,0.1020777,110.9088459,2.603345262,0.00082,3.393435412,0.330564658,0.206657723,0.120129755,35.20438713,255.5064974,48.7461239,0.378104938,118.7072253,0.031590152,0.011879249,6.580054813,0.008761714,0.877045222,0.730280731,351.2132102,0.264447816,0.534514613,0.149105693,2.094202234,68.53625906,57.80022441,47.8989957,13.11845692,13.57221763,0.003189763,0.949195865,29.36789858,19.57852168,0.055405221,0.001059688,0.192000473,3.259195969,226.3654805,0.40089767,8.67966458,0.902270525,1.81332625,16.20957775,269.3123423,0.005193297,0.026101002
UO1_Set1_ALL_026_sample 008,8.539586254,4.532021992,13.6378971,307.7675428,2.386566448,0.00359621,7.868469503,4.888493784,0.373290449,0.006620415,0.113080625,2.533047367,0.240855218,0.006235889,0.656607893,0.053247566,0.262502614,2.444969966,0.091530843,18.6089423,0.007266113,1.164247167,1.410721582,11.51964638,0.289283768,1.080300494,0.471943154,135.6265986,0.105563859,17.39339485,5.846002996,0.434517092,11.15860135,7.269018102,11.68509078,0.683142197,81.44212209,1.520210876,5.069191419,0.753608557,36.31026071,0.026333325,0.504162174,2.515925646,3.486003742,238.6331228,5.736987772,0.454276397,0.203622424,0.200232805,5.175815782,0.094908627,0.028278764,0.011728599,1.238296762,18.41132805,0.012520724,0.100044283,102.013226,42.6051931,0.011639314,0.024678233,0.087618506,49.21774385,0.033313741,0.000874,0.002916256,39.21367274,3.980882886,1.750441076,0.093577642,0.106732315,39.69445805,0.454270487,1.24611775,2.137774819,0.793493971,3.831941951,31.94537174,4.184813606,0.557053323,0.019593114,0.061791483,83.39659786,9.84009106,0.503403618,11.46624355,3.154312673,15.16724523,0.031320699,44.71632577,0.002441016,0.013136307,0.323999001,0.044703692,0.715121365,0.0065938,4.775413838,109.4618291,0.881873324,98.28674524,0.058081224,0.005291175,6.721851283,17.02505333,2.105188739,154.9442854,0.577606482,0.007164858,0.005664306,3.484853103,0.069751994,0.215894356,1.024848714,0.007398013,0.1156387,89.50775957,5.890827534,0.001056834,37.53795611,0.266449448,0.162806042,0.137240894,25.31856711,377.7943679,25.54386911,1.511007074,183.0344687,0.054288804,0.02255751,7.808687293,0.010091073,0.82839086,1.254332547,482.7763497,1.099908549,1.136027123,0.167829191,1.411332403,62.21787209,59.21888916,26.35052671,31.74599546,9.664306857,0.003873257,0.991317096,48.49112319,19.68570122,0.283686055,0.001463112,0.203852322,4.957346153,289.1009872,0.939011164,2.840826972,1.992604542,1.972869341,10.98407996,388.7438576,0.007123405,0.028281935
UO1_Set1_ALL_027_sample 009,8.244847773,3.999517134,12.27274091,283.7092491,2.346562738,0.002879,5.381880256,4.508872555,0.410288925,0.006670405,0.085999044,2.332240788,0.240396591,0.005641847,1.198263735,0.045826145,0.2502074,3.564060357,0.074209875,20.22377152,0.007616819,1.122782207,1.892865895,7.35291115,0.382991423,1.081886477,0.840868711,146.7905473,0.188460807,16.6688653,5.85638438,0.475666012,9.868250666,16.68701173,9.931990781,0.621755339,73.57697098,9.087754772,6.161578292,0.382768028,36.3535875,0.027791379,0.609485875,1.655874174,5.256798456,223.493453,9.289776088,0.530652895,0.217936176,0.155098529,5.551920861,0.132941623,0.032877256,0.010795635,1.032946351,24.02330901,0.008597603,0.057543123,131.0553585,40.03918528,0.011360703,0.024179282,0.019358274,74.51205045,0.033481979,0.00099,0.00264086,18.19866058,4.528486175,1.754827824,0.072773628,0.058934874,36.21040591,0.41669196,1.65714923,4.707102564,0.80886712,3.734999712,33.06836042,4.400774662,0.602402448,0.017051714,0.057277184,95.5403608,9.749051195,0.537264651,11.32891712,3.075641822,16.94539201,0.025921284,48.02507563,0.002707689,0.011972124,0.480096504,0.039621186,0.733927917,0.007343621,5.113389987,119.3023293,0.919137485,93.71592695,0.081709585,0.00509671,5.784647479,17.61276397,1.718773912,162.3304959,0.563585556,0.006199362,0.006186404,2.829920089,0.108582567,0.19146077,1.340067156,0.007185963,0.124665674,62.72685868,5.333229313,0.001751575,18.69832262,0.218234172,0.132426879,0.120912409,7.368197694,377.6322337,38.32664323,1.342578231,211.3039192,0.063068132,0.026412344,9.59972335,0.013084436,1.242053053,1.035515891,475.7893694,0.971438177,1.35162741,0.185305895,2.677994,61.06748901,60.81970737,68.18886215,19.90543656,14.80348012,0.018243883,1.006633506,50.07977477,19.43880435,0.316112078,0.001444703,0.217004404,5.168915586,292.0172884,0.298140965,5.260049509,1.642624128,4.628149316,6.947144331,395.8479696,0.007050645,0.065370111
