mz,rt,mode
79.96,0.5,Negative
80.96,0.4,Negative
86.98,11.8,Negative
86.99,0.3,Negative
88.03,0.3,Negative
88.04,6.3,Negative
88.97,0.4,Negative
89.02,11.7,Negative
90.93,12.3,Negative
92.93,12.2,Negative
94.91,12.1,Negative
94.98,0.4,Negative
95.96,0.4,Negative
95.95,6.8,Negative
96.01,11.8,Negative
96.96,0.5,Negative
96.96,6.8,Negative
97.01,11.8,Negative
98.97,6.8,Negative
98.96,0.5,Negative
100.93,12.1,Negative
100.93,9.5,Negative
102.07,0.3,Negative
102.96,12,Negative
103.92,12.8,Negative
103.97,0.3,Negative
104.95,12,Negative
110.98,0.4,Negative
111.97,0.4,Negative
112.94,0.4,Negative
112.99,11.9,Negative
114.05,0.4,Negative
113.98,11.9,Negative
114.99,12.6,Negative
114.99,0.3,Negative
116.01,0.3,Negative
116.08,0.9,Negative
118.04,0.3,Negative
119.95,12.1,Negative
121.03,1.9,Negative
122.02,3.2,Negative
122.89,12.8,Negative
123.02,3.2,Negative
123.02,12.2,Negative
123,0.4,Negative
124.9,12.2,Negative
124.99,0.4,Negative
125.87,12.8,Negative
126.89,12.2,Negative
126.96,0.4,Negative
127.87,12.8,Negative
128.03,0.4,Negative
128.89,12.2,Negative
129.01,0.4,Negative
129.06,1.9,Negative
129.97,12,Negative
130.08,0.4,Negative
130.09,2.1,Negative
131.07,2.3,Negative
131.01,0.3,Negative
132.02,0.3,Negative
134.9,12.3,Negative
136,0.3,Negative
136.89,12.2,Negative
137.02,1.3,Negative
137.98,0.4,Negative
138.01,3.2,Negative
138.98,0.4,Negative
139.01,12.2,Negative
141.92,12,Negative
141.92,9,Negative
142.05,0.5,Negative
144.06,1,Negative
144.03,2.9,Negative
144.92,9.1,Negative
145.06,0.3,Negative
145.93,12.8,Negative
146.04,0.3,Negative
146.96,12.7,Negative
146.96,0.3,Negative
148.02,11.7,Negative
149.02,11.7,Negative
150,12,Negative
151.06,11.6,Negative
152.02,0.4,Negative
153.07,0.4,Negative
154.05,0.3,Negative
154.1,1,Negative
156.05,0.4,Negative
156.11,3.2,Negative
157.07,0.4,Negative
157.86,12.8,Negative
158.08,2.3,Negative
158.08,1.2,Negative
158.98,0.3,Negative
158.98,9.5,Negative
158.98,12.1,Negative
159.86,12.8,Negative
159.96,0.3,Negative
159.98,9.5,Negative
160.84,12.3,Negative
160.84,11.5,Negative
160.98,0.3,Negative
161.85,12.8,Negative
162.84,12.2,Negative
162.84,11.5,Negative
163.08,4.8,Negative
163.84,12.8,Negative
164.06,0.6,Negative
164.07,2.4,Negative
164.84,12.2,Negative
165.07,0.5,Negative
165,11.8,Negative
166.01,3.2,Negative
166.84,12.2,Negative
167.02,3.2,Negative
167.99,0.3,Negative
168,3.2,Negative
169.07,0.4,Negative
169.94,11.7,Negative
169.97,0.4,Negative
170.13,3.8,Negative
170.94,12,Negative
170.96,0.4,Negative
171.88,12.8,Negative
172.04,0.4,Negative
172.1,2.5,Negative
172.92,12,Negative
173.09,0.3,Negative
173.88,12.8,Negative
174.06,0.4,Negative
174.96,12.7,Negative
174.96,0.3,Negative
175.96,12.7,Negative
175.98,0.3,Negative
177.09,4.8,Negative
178.04,0.4,Negative
178.98,0.2,Negative
180.05,0.4,Negative
180.91,0.5,Negative
180.97,11.9,Negative
182.03,0.4,Negative
181.98,11.9,Negative
182.9,12.2,Negative
183.08,0.4,Negative
183.93,0.4,Negative
184.1,2.9,Negative
185.04,0.4,Negative
185.91,12.1,Negative
185.98,0.4,Negative
186.11,3,Negative
187.1,0.4,Negative
187.94,12.5,Negative
188.05,0.4,Negative
189.08,0.3,Negative
190.08,0.4,Negative
191.07,0.3,Negative
192.06,2.6,Negative
192.93,12.2,Negative
193.09,4.7,Negative
193.81,12.3,Negative
193.99,0.4,Negative
194.08,5.5,Negative
195.07,0.4,Negative
195.81,12.3,Negative
195.81,11.4,Negative
196.03,0.4,Negative
196.89,0.5,Negative
197.81,12.3,Negative
197.81,11.4,Negative
198.06,0.4,Negative
198.14,4.8,Negative
199.04,0.4,Negative
199.81,11.4,Negative
199.82,12.3,Negative
199.97,0.4,Negative
200.1,3.2,Negative
200.86,9.7,Negative
201.07,0.3,Negative
201.03,11.7,Negative
201.14,4.8,Negative
201.81,12.3,Negative
202.03,0.4,Negative
203.1,0.3,Negative
203.08,1,Negative
204.08,0.4,Negative
205.08,0.3,Negative
205.99,12.7,Negative
206.08,0.4,Negative
206.09,2.7,Negative
206.87,9.8,Negative
206.98,0.2,Negative
