name,Group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92
2,plasma_d14_12gy,6.1463,3.8139,-2.1413,-1.3849,1.422,-0.016449,1.9524,0.42891,-0.95021,0.84893,1.3744,0.037426,-0.36712,-0.03826,0.52259,0.65815,0.16774,-0.37333,-0.23046,0.27789,-0.88498,-0.69144,0.090947,-0.13755,-0.68303,0.8588,0.30092,0.96654,0.19004,1.1006,-0.44527,0.99455,-0.28384,-0.84634,-0.042114,0.14946,0.062283,0.47987,-0.082431,-0.30618,-0.35633,0.17168,0.084543,-0.11893,0.28989,-0.79236,0.081916,0.1373,-0.058658,-0.14434,0.40455,-0.085301,-0.57418,-0.51572,0.30312,-0.035192,0.11399,-0.045125,0.0060288,-0.27645,0.091965,-0.2519,0.12284,0.37367,-0.33284,-0.31743,-0.086733,-0.087477,-0.12644,-0.02077,-0.056703,0.19469,0.021186,-0.033854,-0.20544,0.18354,0.095416,-0.022643,-0.30666,-0.083824,-0.11622,-0.20817,-0.21186,-0.0027721,0.043235,-0.12007,0.055227,0.10934,-0.13675,0.12532,0.04351,1.73E-15
3,plasma_d14_12gy,-4.3393,3.1781,1.2787,1.9187,-1.7968,-2.6122,-1.0345,-1.2424,0.11323,0.90477,0.11471,-1.1213,0.39518,0.76893,-1.252,0.015411,1.3077,0.070361,-0.035848,0.29835,0.097148,-0.5664,-0.2078,0.38843,-0.0056921,0.58354,-0.35046,-0.71738,0.37685,-0.33641,-0.42021,0.59847,-0.16852,-0.22213,-0.22934,-0.37023,0.20696,0.49026,0.17212,-0.2022,-0.056477,0.32768,-0.73753,0.36013,-0.38358,-0.37233,-0.27252,-0.41416,0.087406,-0.24567,0.22293,-0.17213,-0.14516,-0.069077,-0.29827,0.038595,-0.0039881,-0.29194,-0.53741,0.24243,0.40896,0.20949,0.20797,-0.46527,-0.33372,0.20905,-0.29546,0.3477,0.067074,0.010696,-0.21074,0.14225,0.16563,-0.26872,0.16948,-0.17608,-0.28878,0.11452,-0.23818,-0.069603,0.321,0.0089163,0.0018093,-0.10625,-0.031512,0.1202,-0.15986,-0.18464,-0.031293,0.079946,-0.048078,-7.20E-17
4,plasma_d14_12gy,13.888,2.5958,-2.1381,-0.96385,-0.10374,1.2742,0.42101,0.51424,-0.35121,0.90217,1.0476,-0.28731,-0.56382,0.046117,0.36395,-0.30776,0.54602,-0.023334,-1.1362,0.90831,-0.19923,0.064361,-0.51977,-0.068917,-0.053957,0.062186,0.35457,0.10408,0.49936,0.33184,-0.097568,0.2345,-0.46885,-0.58729,0.036754,0.40864,-0.63576,-0.047878,0.097441,-0.16225,0.20088,-0.70866,-0.054986,0.033748,-0.31559,0.41484,-0.47147,-0.63313,0.26198,0.042347,-0.19214,-0.13486,0.058001,0.39008,-0.077689,0.31324,0.052345,-0.3506,-0.040077,0.020908,-0.22874,-0.28808,0.17778,-0.082655,0.02158,0.34532,-0.58358,-0.0047544,-0.19309,0.24869,0.46677,0.25226,-0.063414,0.13978,-0.039247,-0.079934,0.030942,0.095027,0.44727,-0.086245,-0.00071008,-0.10983,0.37193,0.098629,0.037195,0.11456,0.1032,-0.039933,0.093403,-0.23375,-0.13888,2.66E-15
12,plasma_d14_12gy,-8.1598,1.9958,-0.38378,-0.95611,-3.1191,1.8353,-0.88119,-2.4884,0.51914,2.5299,-0.22422,1.3748,-0.84788,-0.27473,1.8472,-0.34129,-1.083,-0.19449,-0.60568,-0.16886,-0.42557,-0.056901,0.41139,0.020454,-1.1333,-0.35397,0.072044,0.41466,-0.225,0.31803,-0.4508,-0.53313,0.66262,0.036519,-0.4033,-0.032608,0.59888,0.14191,0.53683,-0.65235,0.33495,0.36141,-0.24159,0.194,0.5074,0.49206,0.046319,0.22501,0.0474,-0.45323,0.2456,-0.11594,0.2018,0.47406,0.26062,0.25117,0.29824,0.065371,-0.14903,0.16668,-0.2455,0.23717,-0.24235,-0.17113,-0.034979,-0.15529,-0.11436,-0.047491,-0.16902,0.17427,-0.010124,0.042826,-0.16036,-0.26049,0.10319,-0.28304,-0.19778,0.085365,-0.12992,0.10279,-0.077982,-0.1028,-0.079804,0.015593,0.036704,0.14117,0.19342,-0.037868,0.030383,-0.024102,-0.01127,-3.06E-15
14,plasma_d14_sham,11.904,1.0926,0.007533,-2.6832,-0.57538,-0.37668,-0.74542,-2.2246,-1.3073,1.2993,-0.21956,0.13033,-0.28623,0.78483,1.1012,0.31589,-0.18339,0.64992,-0.11776,0.53839,0.25059,-0.11069,-0.24105,-0.74405,-0.11916,0.47835,0.86878,-0.070639,-0.24201,-0.59185,0.53327,0.20918,0.21262,-0.17294,-0.055133,0.0076041,0.15378,-0.27818,0.45878,0.15346,0.27479,0.60808,0.093155,-0.20717,-0.061308,-0.01957,0.082166,0.052115,0.033552,0.0015643,-0.78378,-0.021113,-0.25862,0.10925,0.35666,-0.04384,-0.21523,0.020893,-0.0060247,-0.18231,0.16225,0.30836,-0.055803,-0.27577,-0.32443,0.31481,-0.051535,-0.12501,0.023342,-0.14009,0.20082,0.068058,0.33708,0.21768,0.16431,0.096913,0.11156,-0.31013,0.21985,0.32814,0.23964,0.34819,-0.13658,0.031034,0.21268,-0.14566,-0.2292,0.23416,-0.067929,0.19386,0.18785,4.49E-16
20,plasma_d14_12gy,-8.2757,2.7753,-0.72337,1.8779,0.69415,0.023894,0.91381,-0.2306,-0.24916,1.0352,0.47111,0.27193,0.087088,-0.43724,0.58168,-0.31485,-0.92891,0.59975,-0.35185,0.57544,0.422,0.54563,-0.54756,-0.82544,-0.24318,-0.16459,0.34486,-0.27308,0.26538,-0.12972,-0.32531,0.46959,-0.12119,0.38608,0.58733,-0.27759,0.43671,-0.030123,-0.13551,0.84266,0.37322,0.72994,-0.016524,0.46951,0.27155,0.26046,-0.07603,-0.088771,-0.25219,0.20158,0.25748,0.063947,-0.45854,0.18082,-0.2304,-0.069395,-0.15692,-0.52832,0.48452,-0.02557,-0.14021,-0.028681,0.42163,0.35105,0.052123,0.57545,0.40585,0.030651,0.048242,0.18713,-0.074005,-0.35942,0.16034,-0.10122,-0.062245,-0.12597,0.18574,0.39254,-0.049735,-0.35423,0.14779,-0.036725,-0.063997,0.069586,-0.018066,0.0339,-0.015526,0.29094,-0.0036493,-0.011626,-0.13952,-1.39E-15
26,plasma_d14_12gy,8.7902,0.59602,0.20389,0.64001,0.51649,1.0444,-1.6018,-0.051866,-0.53548,-0.38456,0.76206,-0.85931,-0.4773,1.1642,0.20067,0.27451,-0.4422,1.7078,-0.85233,-0.74372,1.6119,-0.36597,0.0043778,-1.0076,-0.45785,-0.73901,-0.56937,-0.42875,-0.22355,-0.088135,-0.085738,0.18062,-0.41673,0.17641,-0.179,0.35781,-0.11765,-0.14218,-0.95369,-0.38527,-0.59118,0.091607,-0.12329,-0.2477,-0.040905,0.29046,0.40476,-0.26986,0.035643,0.12663,0.23465,-0.014239,-0.075921,-0.060307,-0.21289,-0.22845,0.13975,0.015108,-0.067401,0.18021,-0.043864,-0.088071,0.17732,-0.42531,-0.1979,-0.16302,0.40999,-0.043026,-0.27402,0.017751,0.045725,0.12471,-0.16793,-0.25146,0.17438,0.14508,-0.35828,-0.090038,0.03673,-0.13879,-0.066181,-0.11096,-0.18186,0.10266,0.026896,-0.213,0.16389,0.15022,-0.049852,-0.2467,0.21219,2.05E-15
29,plasma_d14_12gy,-0.25714,1.6557,2.1861,0.90899,0.58029,-1.018,0.15656,-0.41376,0.78639,0.34823,-1.5954,0.017392,-1.199,0.30125,0.47492,-0.45877,-0.68474,0.33609,0.20563,0.57691,0.81717,0.90628,-0.1291,-0.16521,-0.44232,-0.030196,0.39883,-0.14617,-0.59242,-0.0085437,0.4112,0.60223,-0.17387,0.14886,0.16628,0.36609,-0.36045,0.053678,-0.19792,-0.33028,-0.05555,0.59173,0.14868,-0.46289,0.37028,-0.5022,0.060588,0.38048,0.19681,0.032739,-0.62212,-0.21098,0.21029,-0.36901,-0.30732,0.14367,0.10246,0.1542,-0.12143,0.047014,0.16311,-0.41529,0.21423,0.27539,0.072757,-0.30583,0.088724,0.34047,0.24865,0.24108,0.019982,0.24552,-0.16541,0.092233,0.16504,-0.14999,-0.15228,-0.13858,-0.1579,0.15613,-0.12311,-0.00449,0.31145,0.16723,-0.038996,0.19729,-0.18874,0.016934,-0.19305,-0.11667,-0.43269,-2.43E-16
34,plasma_d14_12gy,-3.6121,1.9918,1.6018,0.16974,-1.3064,-2.3139,-1.1146,-1.7791,0.37646,0.67363,-0.26547,-0.2193,0.5353,0.20732,0.042485,0.44411,1.0861,0.70878,-0.76361,-0.49914,0.38428,0.62346,0.11227,-0.10867,0.17296,0.63295,0.15376,0.012004,-0.10409,0.10128,-0.60376,-0.11663,0.093115,-0.38709,0.44561,0.18807,0.18107,-0.14256,0.54168,0.1856,-0.24111,0.14612,0.48578,-0.54689,-0.59221,0.155,-0.093421,-0.30044,0.03018,-0.29113,0.47014,-0.32015,0.24313,0.21289,-0.096892,0.38795,0.048853,0.23061,0.46732,-0.27928,0.41899,0.25846,-0.039663,0.37889,-0.01723,0.042513,-0.017802,-0.1049,-0.21477,-0.49634,0.030534,-0.2979,-0.21604,-0.097398,-0.1841,-0.14241,0.11043,-0.28477,0.13478,-0.055298,-0.32984,0.021978,0.063765,-0.10003,-0.4483,-0.21883,-0.036331,0.022344,-0.18662,-0.16701,-0.094113,-9.66E-16
37,plasma_d14_12gy,-0.062471,2.4562,0.46343,2.2665,0.065563,0.37677,-0.19888,0.47896,0.76175,-0.37674,-1.4357,0.11261,-0.66825,0.83571,-0.69401,0.26442,-0.21026,0.24244,-0.21023,0.89255,0.30518,-0.50145,-0.21727,-0.0029906,-0.34331,-0.033699,0.5407,-0.66753,0.03407,0.31225,1.0367,-0.27259,-0.60877,-0.25461,-0.51483,0.51282,-0.12194,0.12188,0.18743,0.28123,-0.091769,0.1727,0.17845,-0.16283,0.34255,0.00037855,-0.33605,0.40758,-0.24274,-0.20475,-0.22975,0.31028,-0.055266,-0.2142,0.47126,0.053312,0.22735,0.03892,-0.079988,-0.34956,0.00047848,0.058207,-0.43708,-0.071575,0.19069,0.26822,0.08033,0.29588,-0.12544,0.14193,-0.089271,0.1136,0.031572,-0.064661,0.23866,-0.1624,0.23765,-0.15835,0.10406,-0.51098,0.014092,-0.20756,0.0013223,-0.35611,-0.36458,-0.15715,0.29101,-0.13537,0.20715,0.20024,0.095581,1.59E-16
