ID,log2FC,FDR,label
ENSMUSG00000000001,1.09E-01,9.00E-01,Gnai3
ENSMUSG00000000058,-5.64E-01,3.82E-03,Cav2
ENSMUSG00000000126,-1.13E+00,1.99E-02,Wnt9a
ENSMUSG00000000131,-7.98E-01,3.26E-01,Xpo6
ENSMUSG00000000154,1.11E+00,1.24E-03,Slc22a18
ENSMUSG00000000184,-9.98E-02,8.57E-01,Ccnd2
ENSMUSG00000000194,-1.09E+00,4.17E-05,Gpr107
ENSMUSG00000000204,-2.76E-01,8.22E-01,Slfn4
ENSMUSG00000000248,3.04E+00,1.00E-11,
ENSMUSG00000000266,-8.88E-01,1.97E-01,
ENSMUSG00000000276,2.88E-01,6.95E-01,
ENSMUSG00000000326,1.47E+00,1.54E-01,
ENSMUSG00000000378,9.74E-01,2.15E-01,
ENSMUSG00000000538,8.15E-01,4.94E-01,
ENSMUSG00000000594,-6.39E-01,7.56E-01,
ENSMUSG00000000600,7.66E-01,5.56E-02,
ENSMUSG00000000605,1.44E-01,8.32E-01,
ENSMUSG00000000632,1.67E-01,5.62E-01,
ENSMUSG00000000711,3.51E-01,3.19E-01,
ENSMUSG00000000732,1.07E+00,8.20E-03,
ENSMUSG00000000753,1.35E+00,3.25E-08,
ENSMUSG00000000787,8.23E-01,3.14E-01,
ENSMUSG00000000792,-1.10E-01,8.75E-01,
ENSMUSG00000000794,4.32E-01,5.47E-02,
ENSMUSG00000000804,-2.18E-02,9.76E-01,
ENSMUSG00000000805,2.21E-01,8.57E-01,
ENSMUSG00000000823,-2.10E+00,1.33E-26,
ENSMUSG00000000957,-2.67E-01,8.17E-01,
ENSMUSG00000000958,2.81E-02,9.82E-01,
ENSMUSG00000001016,2.44E-02,9.58E-01,
ENSMUSG00000001021,3.57E-01,4.45E-01,
ENSMUSG00000001027,-9.01E-01,3.20E-01,
ENSMUSG00000001065,-9.85E-02,9.58E-01,
ENSMUSG00000001138,2.09E+00,8.12E-10,
ENSMUSG00000001157,3.11E-02,9.30E-01,
ENSMUSG00000001227,-1.83E-01,8.16E-01,
ENSMUSG00000001285,-7.68E-02,9.37E-01,
ENSMUSG00000001289,3.92E-01,6.97E-01,
ENSMUSG00000001300,-1.56E+00,2.42E-01,
ENSMUSG00000001376,3.53E-01,5.64E-03,
ENSMUSG00000001424,5.16E-01,7.37E-03,
ENSMUSG00000001493,-3.34E-01,7.84E-01,
ENSMUSG00000001521,2.56E-01,5.62E-01,
ENSMUSG00000001569,-2.87E-01,7.94E-01,
ENSMUSG00000001588,3.54E-01,2.18E-02,
ENSMUSG00000001750,6.33E-01,3.19E-02,
ENSMUSG00000001761,1.86E+00,1.32E-02,
ENSMUSG00000001763,2.70E+00,1.04E-05,
ENSMUSG00000001891,-1.10E+00,2.67E-01,
ENSMUSG00000001901,-1.11E-02,9.86E-01,
ENSMUSG00000001962,1.41E+00,5.46E-06,
ENSMUSG00000001998,-3.18E-01,4.47E-01,
ENSMUSG00000002028,-5.03E-01,5.13E-02,
ENSMUSG00000002057,6.84E-01,3.47E-01,
ENSMUSG00000002104,1.31E-01,8.91E-01,
ENSMUSG00000002105,-8.89E-01,3.78E-01,
ENSMUSG00000002107,-1.40E-01,5.21E-01,
ENSMUSG00000002108,1.30E-01,8.74E-01,
ENSMUSG00000002147,-2.80E-01,7.71E-01,
ENSMUSG00000002210,3.87E-01,3.39E-01,
ENSMUSG00000002280,1.00E+00,1.68E-01,
ENSMUSG00000002289,-2.14E-01,4.05E-01,
ENSMUSG00000002297,7.93E-01,1.40E-03,
ENSMUSG00000002307,-1.43E+00,2.31E-01,
ENSMUSG00000002329,1.72E-02,9.59E-01,
ENSMUSG00000002341,-4.16E-01,7.28E-01,
ENSMUSG00000002342,3.93E+00,1.21E-74,
ENSMUSG00000002343,-5.51E-01,6.41E-01,
ENSMUSG00000002345,2.60E-01,6.67E-01,
ENSMUSG00000002346,2.62E+00,2.64E-13,
ENSMUSG00000002372,-5.47E-02,9.65E-01,
ENSMUSG00000002379,-1.01E+00,5.42E-01,
ENSMUSG00000002409,-1.08E+00,3.20E-01,
ENSMUSG00000002413,3.45E-01,4.35E-01,
ENSMUSG00000002416,-1.40E+00,4.77E-01,
ENSMUSG00000002475,-4.13E-01,3.74E-01,
ENSMUSG00000002477,4.60E-01,1.56E-02,
ENSMUSG00000002504,-2.26E-01,8.79E-01,
ENSMUSG00000002524,3.28E-01,6.53E-01,
ENSMUSG00000002578,2.63E-01,7.33E-01,
ENSMUSG00000002602,5.64E-01,1.66E-01,
ENSMUSG00000002603,-1.01E+00,1.57E-02,
ENSMUSG00000002625,4.32E-01,4.68E-01,
ENSMUSG00000002660,-1.83E-02,9.89E-01,
ENSMUSG00000002748,-1.01E-01,7.00E-01,
ENSMUSG00000002771,1.74E-01,8.42E-01,
ENSMUSG00000002797,-1.51E+00,8.39E-02,
ENSMUSG00000002808,-1.05E+00,2.37E-01,
ENSMUSG00000002820,-1.25E+00,3.54E-01,
ENSMUSG00000002831,-3.80E-01,1.13E-01,
ENSMUSG00000002835,-8.48E-01,6.09E-01,
ENSMUSG00000002897,-4.24E-01,6.35E-01,
ENSMUSG00000002908,-8.64E-01,4.54E-01,
ENSMUSG00000002944,2.43E+00,1.89E-04,
ENSMUSG00000002948,-2.14E-01,7.58E-01,
ENSMUSG00000002968,2.50E+00,4.03E-08,
ENSMUSG00000002981,-2.13E+00,7.76E-02,
ENSMUSG00000002984,-2.27E+00,1.42E-02,
ENSMUSG00000002985,-7.19E-01,7.43E-01,
ENSMUSG00000003032,-1.24E+00,2.04E-12,
ENSMUSG00000003038,4.11E-02,9.46E-01,
ENSMUSG00000003068,-6.06E-01,9.02E-03,
ENSMUSG00000003070,-6.24E-01,1.76E-02,
